2026-07-19T19:37:52-05:00
Running ./build/ejecutable_experimentos
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 1.00, 1.28, 1.17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparaciones","Intercambios","RAM_Auxiliar_KB"
"BM_BubbleSort/5000/1/repeats:30",11,5.99291e+07,5.98069e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.96357e+07,5.95314e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.88154e+07,5.87493e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.86088e+07,5.85481e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30",11,5.87251e+07,5.86616e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30_mean",30,5.93046e+07,5.92215e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30_median",30,5.93035e+07,5.92203e+07,ns,,,,,,1.24975e+07,0,0
"BM_BubbleSort/5000/1/repeats:30_stddev",30,628099,611353,ns,,,,,,0,0,0
"BM_BubbleSort/5000/1/repeats:30_cv",30,353035,344105,ns,,,,,,0,-nan,-nan
"BM_BubbleSort/5000/2/repeats:30",4,1.7379e+08,1.73563e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.76012e+08,1.75704e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.74615e+08,1.74234e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.71811e+08,1.71627e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.72825e+08,1.72624e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.72195e+08,1.71946e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.73028e+08,1.72821e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.7437e+08,1.74127e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
"BM_BubbleSort/5000/2/repeats:30",4,1.75273e+08,1.74987e+08,ns,,,,,,1.24975e+07,1.24975e+07,0
